MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     6.251559E-02     9.159091E-01     5.008266E-02     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     3.784535E-02     9.159091E-01     6.083656E-11     0.000000E+00     4.396021E-03     1.000000E+00 
    2     3     2     3.240995E-02     6.789089E-01     7.692980E-11     7.692991E-11     0.000000E+00     1.000000E+00 
    3     4     3     2.938153E-02     6.032181E-01     3.432704E-11     0.000000E+00     5.831190E-12     1.000000E+00 
    4     5     4     2.813357E-02     5.549786E-01     2.695261E-11     2.695261E-11     0.000000E+00     1.000000E+00 
    5     6     5     2.765241E-02     5.320306E-01     3.755218E-12     3.755218E-12     1.940243E-12     1.000000E+00 
    6     7     6     2.739515E-02     5.238475E-01     2.144918E-11     0.000000E+00     2.674191E-13     1.000000E+00 
    7     8     7     2.729674E-02     5.196018E-01     6.326975E-11     6.326997E-11     0.000000E+00     1.000000E+00 
    8     9     8     2.721147E-02     5.182898E-01     4.361991E-11     4.361991E-11     4.527177E-12     1.000000E+00 
    9    10     9     2.718142E-02     5.157754E-01     1.064959E-11     1.064959E-11     3.087790E-12     1.000000E+00 
   10    11    10     2.705091E-02     5.146718E-01     1.687737E-10     1.687743E-10     7.421235E-13     1.000000E+00 
   11    12    11     2.699212E-02     5.087901E-01     1.524647E-11     0.000000E+00     1.163899E-11     1.000000E+00 
   12    13    12     2.696028E-02     5.070035E-01     2.918477E-11     2.918477E-11     0.000000E+00     1.000000E+00 
   13    14    13     2.695511E-02     5.066105E-01     3.325030E-13     3.324840E-13     1.979157E-12     1.000000E+00 
   14    15    14     2.694232E-02     5.064634E-01     2.417169E-11     2.417236E-11     2.257493E-14     1.000000E+00 
   15    16    15     2.693612E-02     5.062403E-01     2.995393E-11     0.000000E+00     1.646995E-12     1.000000E+00 
   16    17    16     2.693154E-02     5.065033E-01     1.826217E-11     1.826217E-11     0.000000E+00     1.000000E+00 
   17    18    17     2.693004E-02     5.072044E-01     1.064093E-12     1.064315E-12     1.243413E-12     1.000000E+00 
   18    18    18     2.693004E-02     5.077579E-01     1.064093E-12     1.064315E-12     6.456094E-07     1.000000E+00 
